backend,curve,simd,orientation,layout,cache,threads,phase,samples,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
mcl,bls12_381,avx512,swapped,8x2,cached,12,share_generation,30,3.2693060000000003,3.2391718,3.2902833,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cached,12,validation,30,1.0073889999999999,0.9876006,1.0334670000000001,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,acceptance,30,5.0003995,4.9769814,5.0333991,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,combiner,30,25.7175805,25.6226278,25.7596423,1,1,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,encryption,30,1.0953545,1.0853537,1.1068321,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,end_to_end,30,31.0852745,30.9673358,31.1311016,1,1,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,opening,30,8.438187,8.419821899999999,8.4501471,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,precompute,30,1.323688,1.2897356,1.3501383,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,preparation,30,10.9381565,10.8841622,10.9762605,1,1,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,share_generation,30,3.2620415,3.2458098,3.2733781,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cold,12,validation,30,1.0044944999999998,0.9935244999999999,1.0200141,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,acceptance,30,7.4499390000000005,7.4288018000000005,7.4727264,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,combiner,30,19.8903105,19.830649,19.9268934,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,encryption,30,0.9796009999999999,0.9689949,0.9891171,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,end_to_end,30,22.964848500000002,22.9051074,23.000154,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,opening,30,8.446207999999999,8.4423899,8.4547802,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,precompute,30,3.987978,3.9533947,4.0218646,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,share_generation,30,1.1610399999999998,1.156978,1.1692752,0,0,0,0
mcl,bls12_381,off,normal,1x16,cached,12,validation,30,0.934584,0.9266119,0.9460451000000001,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,acceptance,30,7.4281895,7.3801629,7.4595574000000004,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,combiner,30,125.11408800000001,124.7592215,125.40764730000001,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,encryption,30,0.978815,0.9661926000000001,0.9961531,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,end_to_end,30,128.1788585,127.8058745,128.4717182,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,opening,30,8.412902500000001,8.3882725,8.4298202,0,0,0,0
mcl,bls12_381,off,normal,1x16,cold,12,precompute,30,3.9491855,3.8216148,4.0034585,0,0,0,0
